X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1FOSFORO,ME1FOSFORO,MI1FOSFORO,MA1FOSFORO,SD1FOSFORO,LATITUDE,LONGITUDE
-39.45057,-14.684999999536727,1400,LESJUC900,BA,INEMA,Juçara,1,3,0.053,0.03,0.08,0.025,-14.685,-39.45057
-39.14136,-14.619809999538564,1401,LESLEN500,BA,INGÁ,Lagoa Encantada,2,3,0.03,0.02,0.05,0.017,-14.61981,-39.14136
-39.05778,-15.174439999522725,1402,LESMRM600,BA,INEMA,Maruim,1,3,0.02,0.02,0.02,0,-15.17444,-39.05778
-39.42764,-14.89799999953064,1403,LESRCH500,BA,INGÁ,Rio Cachoeira,1,3,0.083,0.02,0.21,0.11,-14.898,-39.42764
-39.27003,-14.788389999533743,1404,LESRCH700,BA,INGÁ,Rio Cachoeira,1,3,0.16,0.02,0.42,0.225,-14.78839,-39.27003
-39.15272,-14.802439999533332,1405,LESRCH800,BA,INGÁ,Rio Cachoeira,1,3,0.157,0.03,0.37,0.186,-14.80244,-39.15272
-39.94908,-14.955469999528958,1406,LESSLD100,BA,INGÁ,Rio Salgado,1,3,0.033,0.02,0.05,0.015,-14.95547,-39.94908
-39.71867,-14.904809999530411,1407,LESSLD200,BA,INGÁ,Rio Salgado,1,3,0.19,0.02,0.53,0.294,-14.90481,-39.71867
-39.50192,-14.87405999953128,1408,LESSLD400,BA,INGÁ,Rio Salgado,1,3,0.163,0.02,0.45,0.248,-14.87406,-39.50192
-39.65083,-14.80943999953314,1409,LESSLM500,BA,INEMA,Salomé,1,3,0.023,0.02,0.03,0.006,-14.80944,-39.65083
-39.04294,-14.398999999544955,1410,LESTIJ800,BA,INEMA,Tijuípe,1,3,0.027,0.02,0.04,0.012,-14.399,-39.04294
-39.32614,-15.073219999525598,1411,LESUNA100,BA,INGÁ,Rio Una,1,3,0.027,0.02,0.04,0.012,-15.07322,-39.32614
-39.06369,-15.297389999519236,1412,LESUNA400,BA,INGÁ,Rio Una,1,3,0.023,0.02,0.03,0.006,-15.29739,-39.06369
-40.81803,-20.9258999993699,1413,LGD1L001,ES,IEMA,Lagoa Guanandi,2,4,0,0,0,0,-20.9259,-40.81803
-40.82518,-20.925819999369867,1414,LGD1L002,ES,IEMA,Lagoa Guanandi,2,4,0,0,0,0,-20.92582,-40.82518
-48.23103,-15.777499999505666,1415,LICLDE001,DF,CAESB,LG Descoberto Ponto A - 1 metro,2,2,0.023,0.02,0.026,0.004,-15.7775,-48.23103
-48.21345,-15.756879999506285,1416,LICLDE002,DF,CAESB,LG Descoberto Ponto B - 1 metro,2,2,0.02,0.02,0.02,0,-15.75688,-48.21345
-48.1769,-15.749109999506459,1417,LICLDE003,DF,CAESB,LG Descoberto Ponto C - 1 metro,2,2,0.02,0.02,0.02,0,-15.74911,-48.1769
-48.17959,-15.738059999506815,1418,LICLDE004,DF,CAESB,LG Descoberto Ponto D - 1 metro,2,2,0.02,0.02,0.02,0,-15.73806,-48.17959
-48.21259,-15.711389999507544,1419,LICLDE005,DF,CAESB,LG Descoberto Ponto E - 1 metro,2,2,0.02,0.02,0.02,0,-15.71139,-48.21259
-47.48809,-15.488159999513826,1420,LICPIP001,DF,CAESB,RIB Pipiripau Nascente,1,4,0.033,0.02,0.071,0.026,-15.48816,-47.48809
-47.50926,-15.572079999511496,1421,LICPIP002,DF,CAESB,RIB Pipiripau BR - 020,1,4,0.024,0.02,0.037,0.008,-15.57208,-47.50926
-47.62381,-15.657129999509067,1422,LICPIP003,DF,CAESB,RIB Pipiripau Taquara Jusante,1,4,0.041,0.02,0.092,0.034,-15.65713,-47.62381
-47.57597,-15.640669999509534,1423,LICPIP004,DF,CAESB,RIB Pipiripau Aidano,1,4,0.032,0.02,0.059,0.019,-15.64067,-47.57597
-47.59618,-15.655529999509112,1424,LICPIP005,DF,CAESB,RIB Pipiripau PCD,1,4,0.058,0.02,0.151,0.062,-15.65553,-47.59618
-47.53691,-15.622599999510024,1425,LICPIP006,DF,CAESB,Ribeirão Pipiripau  Frinocap,1,4,0.03,0.02,0.047,0.012,-15.6226,-47.53691
-39.24439,-3.673689999879199,1426,LIV01,CE,COGERH, ,0,3,0.068,0.035,0.133,0.056,-3.67369,-39.24439
-39.43946,-3.964649999869666,1427,LIV02,CE,COGERH, ,0,3,0.083,0.035,0.178,0.082,-3.96465,-39.43946
-40.23938,-20.169599999388659,1428,LJA1L001,ES,IEMA,Lagoa Jacuném,2,2,0,0,0,0,-20.1696,-40.23938
-40.23501,-20.166279999388713,1429,LJA1L010,ES,IEMA,Lagoa Jacuném,2,2,0,0,0,0,-20.16628,-40.23501
-40.22015,-20.167459999388708,1430,LJA1L020,ES,IEMA,Lagoa Jacuném,2,4,0,0,0,0,-20.16746,-40.22015
-40.21553,-20.13053999938964,1431,LJU1L001,ES,IEMA,Lagoa Juara,2,4,0,0,0,0,-20.13054,-40.21553
-40.63661,-4.3348699998576,1432,LMC01,CE,COGERH,Informação não disponível,2,3,0.068,0.038,0.103,0.033,-4.33487,-40.63661
-39.00533,-6.26745999979498,1433,MAB01,CE,COGERH,Informação não disponível,2,4,0.076,0.017,0.243,0.111,-6.26746,-39.00533
-38.37653,-4.091899999865516,1434,MAC01,CE,COGERH,Informação não disponível,2,2,0.074,0.062,0.085,0.016,-4.0919,-38.37653
-47.94667,-24.993889999276821,1435,MADE21700,SP,CETESB,Informação não disponível,1,6,0.06,0.03,0.08,0.018,-24.99389,-47.94667
