X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1FOSFORO,ME1FOSFORO,MI1FOSFORO,MA1FOSFORO,SD1FOSFORO,LATITUDE,LONGITUDE
-44.05942,-19.9294199993947,2001,PV020,MG,IGAM,Córrego sem nome,1,3,0.807,0.17,1.29,0.576,-19.92942,-44.05942
-44.05414,-19.914749999395106,2002,PV030,MG,IGAM,Córrego do aterro do Perobas,1,4,0.068,0.04,0.11,0.031,-19.91475,-44.05414
-44.04,-19.889999999395688,2003,PV037,MG,IGAM,Córrego Sarandi,1,4,1.028,0.13,1.94,0.739,-19.89,-44.04
-44.03456,-19.903639999395349,2004,PV045,MG,IGAM,Córrego da Avenida 2,1,4,0.522,0.21,1.01,0.342,-19.90364,-44.03456
-44.05164,-19.876169999396065,2005,PV055,MG,IGAM,Córrego Tapera,1,4,0.088,0.04,0.16,0.055,-19.87617,-44.05164
-44.04431,-19.880669999395948,2006,PV060,MG,IGAM,Córrego Cabral,1,4,0.832,0.37,1.36,0.441,-19.88067,-44.04431
-44.03986,-19.882579999395908,2007,PV065,MG,IGAM,Córrego Cabral,1,4,1.155,0.53,1.83,0.544,-19.88258,-44.03986
-44.03528,-19.878639999396018,2008,PV070,MG,IGAM,Córrego Sarandi,1,4,1.102,0.25,2.96,1.254,-19.87864,-44.03528
-44.01933,-19.8750799993961,2009,PV075,MG,IGAM,Córrego da Luzia,1,4,1.033,0.23,1.46,0.547,-19.87508,-44.01933
-44.01503,-19.873809999396105,2010,PV080,MG,IGAM,Córrego Gandi,1,4,0.61,0.08,0.92,0.391,-19.87381,-44.01503
-44.00633,-19.890609999395668,2011,PV085,MG,IGAM,Córrego Flor Dágua,1,4,1.032,0.64,1.77,0.526,-19.89061,-44.00633
-44.00456,-19.890359999395677,2012,PV090,MG,IGAM,Córrego Ressaca,1,4,1.4,0.79,1.89,0.528,-19.89036,-44.00456
-43.99825,-19.869669999396208,2013,PV105,MG,IGAM,Córrego da Avenida Tancredo Neves,1,4,1.1,0.03,1.93,0.937,-19.86967,-43.99825
-44.0,-19.859999999396482,2014,PV110,MG,IGAM,Córrego Sarandi,1,4,0.882,0.48,1.43,0.398,-19.86,-44
-44.03517,-19.842749999396926,2015,PV125,MG,IGAM,Córrego Bom Jesus,1,4,0.048,0.03,0.06,0.013,-19.84275,-44.03517
-44.03917,-19.847859999396796,2016,PV130,MG,IGAM,Córrego Banguelo,1,4,0.122,0.03,0.29,0.118,-19.84786,-44.03917
-44.03225,-19.850809999396716,2017,PV135,MG,IGAM,Córrego da Avenida A,1,4,0.32,0.13,0.49,0.148,-19.85081,-44.03225
-44.02678,-19.837969999397007,2018,PV140,MG,IGAM,Córrego Xangrilá,1,3,0.67,0.44,0.82,0.202,-19.83797,-44.02678
-44.02144,-19.845779999396814,2019,PV145,MG,IGAM,Córrego da Avenida Nacional,1,4,0.542,0.09,1.05,0.441,-19.84578,-44.02144
-44.03728,-19.860919999396462,2020,PV150,MG,IGAM,Córrego Munizes,1,4,0.178,0.04,0.29,0.127,-19.86092,-44.03728
-48.03889,-21.247499999362034,2021,RONC02800,SP,CETESB,Ribeirão da Onça,1,6,0.05,0.022,0.098,0.026,-21.2475,-48.03889
-38.51564,-5.552929999818015,2022,ROS01,CE,COGERH,Informação não disponível,2,4,0.028,0.01,0.067,0.027,-5.55293,-38.51564
-49.3761,-20.809399999372726,2023,RPRE02200,SP,CETESB,Reservatório do Rio Preto,2,6,0.052,0.032,0.116,0.032,-20.8094,-49.3761
-38.326,-5.56428999981767,2024,RSE01,CE,COGERH,Riacho da Serra,1,4,0.058,0.024,0.101,0.032,-5.56429,-38.326
-40.76009,-18.986909999418891,2025,RSJ2C001,ES,IEMA,Informação não disponível,1,4,0,0,0,0,-18.98691,-40.76009
-40.54092,-19.043979999417346,2026,RSJ2C002,ES,IEMA,Informação não disponível,1,4,0,0,0,0,-19.04398,-40.54092
-40.0708,-19.40179999940813,2027,RSJ2C005,ES,IEMA,Rio São José,1,4,0,0,0,0,-19.4018,-40.0708
-40.52074,-19.061939999416907,2028,RSJ2E003,ES,AGERH,Rio São José,1,4,0,0,0,0,-19.06194,-40.52074
-40.13583,-3.077209999898692,2029,RSR01,CE,COGERH, ,0,2,0.034,0.024,0.044,0.014,-3.07721,-40.13583
-40.21383,-3.457429999886237,2030,RSR02,CE,COGERH, ,0,2,0.048,0.042,0.055,0.009,-3.45743,-40.21383
-45.76095,-23.763219999303487,2031,RUNA02950,SP,CETESB,Rio Una,1,6,0.028,0.02,0.042,0.01,-23.76322,-45.76095
-39.7399,-9.306359999698453,2032,RVC02,CE,COGERH,Informação não disponível,1,4,0.114,0.079,0.185,0.049,-9.30636,-39.7399
-36.98847,-8.096519999736529,2033,SA07,PB,SUDEMA,Açude Santo Antônio (São Sebastião do Umbuzeiro),2,2,0.16,0.1,0.22,0.085,-8.09652,-36.98847
-38.04736,-7.481749999756038,2034,SA30,PB,SUDEMA,Açude Saco (Nova Olinda),2,2,0.055,0.04,0.07,0.021,-7.48175,-38.04736
-40.47002,-5.426069999822103,2035,SAA01,CE,COGERH,Informação não disponível,2,3,0.167,0.121,0.243,0.067,-5.42607,-40.47002
-58.18769,-13.026719999585113,2036,SAC117,MT,SEMA,Rio Sacre,1,2,0.05,0.05,0.05,0,-13.02672,-58.18769
-45.4169,-23.756899999303609,2037,SAFO00300,SP,CETESB,Rio São Francisco,1,6,0.02,0.02,0.02,0,-23.7569,-45.4169
-45.56,-22.716109999327248,2038,SAGU02050,SP,CETESB,Rio Sapucaí Guaçu,1,6,0.2,0.11,0.31,0.066,-22.71611,-45.56
-45.50528,-22.693609999327727,2039,SAGU02250,SP,CETESB,Rio Sapucaí Guaçu,1,6,0.134,0.056,0.19,0.051,-22.69361,-45.50528
-45.69167,-23.777219999303188,2040,SAHI02950,SP,CETESB,Rio Saí,1,6,0.037,0.02,0.052,0.013,-23.77722,-45.69167
-41.08714,-10.976419999646856,2041,SALSAL200,BA,INGÁ,Rio Salitre,1,2,0.03,0.02,0.04,0.014,-10.97642,-41.08714
-40.69528,-10.010279999676591,2042,SALSAL450,BA,INEMA,Salitre,1,2,0.025,0.02,0.03,0.007,-10.01028,-40.69528
-40.61331,-9.844439999681732,2043,SALSAL500,BA,INGÁ,Rio Salitre,1,2,0.02,0.02,0.02,0,-9.84444,-40.61331
-40.65368,-9.561979999690498,2044,SALSAL600,BA,INGÁ,Rio Salitre,1,2,0.02,0.02,0.02,0,-9.56198,-40.65368
-45.735,-22.686109999327915,2045,SAMI02200,SP,CETESB,Rio Sapucaí-Mirim,1,6,0.044,0.02,0.066,0.022,-22.68611,-45.735
-56.81462,-14.451629999543462,2046,SAN034,MT,SEMA,Rio Santana,1,3,0.117,0.09,0.14,0.025,-14.45163,-56.81462
-57.87239,-12.109669999612459,2047,SAN206,MT,SEMA,Rio Sangue,1,3,0.05,0.05,0.05,0,-12.10967,-57.87239
-45.7953,-23.334699999313091,2048,SANT00100,SP,CETESB,Reservatório Santa Branca,2,6,0.02,0.02,0.02,0,-23.3347,-45.7953
-36.44756,-7.624259999751514,2049,São Domingos,PB,DER/PB,Açude São Domingos,2,2,0.52,0.44,0.6,0.113,-7.62426,-36.44756
-54.1649,-15.197299999522064,2050,SAP042,MT,SEMA,Ribeirão Sapé,1,3,0.05,0.05,0.05,0,-15.1973,-54.1649
-47.23389,-20.989439999368329,2051,SAPU02050,SP,CETESB,Rio Sapucaí,1,6,0.022,0.017,0.029,0.005,-20.98944,-47.23389
-47.52222,-20.729719999374691,2052,SAPU02200,SP,CETESB,Rio Sapucaí,1,6,0.027,0.02,0.04,0.008,-20.72972,-47.52222
-47.52167,-20.729439999374726,2053,SAPU02250,SP,CETESB,Rio Sapucaí,1,6,0.027,0.02,0.046,0.011,-20.72944,-47.52167
-47.08472,-20.70749999937523,2054,SAPU02270,SP,CETESB,Rio Sapucaí,1,6,0.048,0.02,0.125,0.04,-20.7075,-47.08472
-47.6422,-20.659399999376458,2055,SAPU02300,SP,CETESB,Rio Sapucaí,1,6,0.028,0.019,0.048,0.012,-20.6594,-47.6422
-47.8275,-20.523329999379815,2056,SAPU02400,SP,CETESB,Rio Sapucaí,1,6,0.031,0.02,0.042,0.008,-20.52333,-47.8275
-48.29,-20.203609999387819,2057,SAPU02900,SP,CETESB,Rio Sapucaí-UGRHI 08,1,6,0.017,0.012,0.02,0.004,-20.20361,-48.29
-39.31964,-4.38113999985609,2058,SAR01,CE,COGERH,Informação não disponível,2,4,0.071,0.034,0.107,0.03,-4.38114,-39.31964
-45.41611,-23.630829999306442,2059,SATO02900,SP,CETESB,Rio Santo Antonio,1,6,0.044,0.02,0.11,0.033,-23.63083,-45.41611
-47.73778,-23.352779999312684,2060,SAUI02900,SP,CETESB,Rio Sarapuí,1,6,0.117,0.08,0.2,0.043,-23.35278,-47.73778
-40.2524,-3.920029999871116,2061,SAV01,CE,COGERH,Informação não disponível,2,3,0.034,0.013,0.057,0.022,-3.92003,-40.2524
-36.66064,-7.473969999756314,2062,SBI14,PB,SUDEMA,Açude Serra Branca I (Serra Branca),2,2,0.265,0.15,0.38,0.163,-7.47397,-36.66064
-36.68444,-7.480879999756102,2063,SBII15,PB,SUDEMA,Açude Serra Branca II (Serra Branca),2,2,0.15,0.13,0.17,0.028,-7.48088,-36.68444
-43.66853,-19.877829999396035,2064,SC03,MG,IGAM,Córrego Caeté,1,4,0.99,0.34,1.92,0.714,-19.87783,-43.66853
-43.90058,-19.820359999397457,2065,SC10,MG,IGAM,Ribeirão do Onça,1,4,0.43,0.03,1.13,0.482,-19.82036,-43.90058
-44.03622,-19.810109999397742,2066,SC12,MG,IGAM,Ribeirão Areias ou Ribeirão das Areias,1,4,0.152,0.02,0.47,0.213,-19.81011,-44.03622
-44.03128,-19.807109999397827,2067,SC13,MG,IGAM,Ribeirão Areias ou Ribeirão das Areias,1,4,0.18,0.02,0.37,0.172,-19.80711,-44.03128
-43.90714,-19.77988999939852,2068,SC14,MG,IGAM,Ribeirão Poderoso,1,4,1.63,0.22,2.89,1.113,-19.77989,-43.90714
-43.82442,-19.715639999400132,2069,SC16,MG,IGAM,Rio das Velhas,1,12,0.668,0.25,1.96,0.481,-19.71564,-43.82442
-43.91389,-19.692969999400706,2070,SC17,MG,IGAM,Ribeirão da Mata,1,4,0.33,0.14,0.58,0.194,-19.69297,-43.91389
-44.05447,-19.665469999401427,2071,SC19,MG,IGAM,Ribeirão das Neves,1,4,0.502,0.12,0.97,0.374,-19.66547,-44.05447
-44.01319,-19.63932999940204,2072,SC21,MG,IGAM,Ribeirão da Mata,1,4,0.4,0.13,0.62,0.214,-19.63933,-44.01319
-44.07597,-19.579859999403578,2073,SC22,MG,IGAM,Ribeirão da Mata,1,4,0.035,0.02,0.05,0.017,-19.57986,-44.07597
-44.05856,-19.602829999402989,2074,SC23,MG,IGAM,Ribeirão da Mata,1,4,0.348,0.18,0.47,0.121,-19.60283,-44.05856
-44.17028,-19.468249999406453,2075,SC24,MG,IGAM,Ribeirão Jequitibá,1,4,0.722,0.29,1.5,0.54,-19.46825,-44.17028
-44.23825,-19.46621999940653,2076,SC25,MG,IGAM,Córrego do Diogo,1,4,0.46,0.29,0.65,0.158,-19.46622,-44.23825
-44.20775,-19.446439999406994,2077,SC26,MG,IGAM,Ribeirão do Matadouro,1,4,1.798,0.25,4.51,2.012,-19.44644,-44.20775
-43.74853,-18.439809999433198,2078,SC27,MG,IGAM,Ribeirão do Chiqueiro,1,4,0.02,0.02,0.02,0,-18.43981,-43.74853
-43.75003,-18.506749999431424,2079,SC28,MG,IGAM,Ribeirão do Chiqueiro,1,4,0.023,0.02,0.03,0.005,-18.50675,-43.75003
-44.06292,-18.631139999428161,2080,SC30,MG,IGAM,Rio Paraúna,1,7,0.05,0.02,0.13,0.043,-18.63114,-44.06292
-44.31106,-18.100219999442146,2081,SC33,MG,IGAM,Rio Curumataí,1,4,0.025,0.02,0.03,0.006,-18.10022,-44.31106
-44.44667,-18.35971999943526,2082,SC39,MG,IGAM,Córrego Matadouro,1,4,0.08,0.02,0.13,0.047,-18.35972,-44.44667
-39.28337,-7.028929999770515,2083,SD201,CE,COGERH,São Domingos II,2,4,0.037,0.017,0.067,0.021,-7.02893,-39.28337
-49.0903,-20.843599999371886,2084,SDOM03900,SP,CETESB,Ribeirão São Domingos,1,4,0.424,0.26,0.684,0.183,-20.8436,-49.0903
-48.10889,-21.158329999364181,2085,SDOM04300,SP,CETESB,Ribeirão São Domingos,1,6,0.158,0.1,0.238,0.059,-21.15833,-48.10889
-49.0636,-21.050599999366803,2086,SDOM04500,SP,CETESB,Ribeirão São Domingos,1,6,1.062,0.18,2.23,0.765,-21.0506,-49.0636
-57.4241,-14.489399999542336,2087,SEP086,MT,SEMA,Sepotuba,1,3,0.1,0.05,0.16,0.056,-14.4894,-57.4241
-57.5769,-14.500899999542016,2088,SEP115,MT,SEMA,Sepotuba,1,3,0.09,0.05,0.11,0.035,-14.5009,-57.5769
-57.7305,-15.007599999527502,2089,SEP147,MT,SEMA,Sepotuba,1,3,0.097,0.05,0.12,0.04,-15.0076,-57.7305
-48.04444,-21.088609999365914,2090,SETA04600,SP,CETESB,Rio Sertãozinho,1,6,0.763,0.41,1.43,0.38,-21.08861,-48.04444
-46.46786,-20.332499999384552,2091,SF001,MG,IGAM,Rio São Francisco,1,4,0.023,0.02,0.03,0.005,-20.3325,-46.46786
-45.66006,-20.236669999386976,2092,SF002,MG,IGAM,Rio São Miguel,1,4,0.035,0.02,0.08,0.03,-20.23667,-45.66006
-45.71558,-20.171109999388612,2093,SF003,MG,IGAM,Rio São Francisco,1,4,0.032,0.02,0.05,0.015,-20.17111,-45.71558
-45.614,-20.160359999388913,2094,SF004,MG,IGAM,Rio Preto,1,4,0.032,0.02,0.07,0.025,-20.16036,-45.614
-45.27472,-19.279749999411262,2095,SF005,MG,IGAM,Rio São Francisco,1,4,0.023,0.02,0.03,0.005,-19.27975,-45.27472
-45.105,-19.161919999414348,2096,SF006,MG,IGAM,Rio São Francisco,1,4,0.02,0.02,0.02,0,-19.16192,-45.105
-45.42761,-19.157139999414479,2097,SF007,MG,IGAM,Ribeirão Marmelada,1,4,0.302,0.11,0.46,0.166,-19.15714,-45.42761
-45.58664,-20.083889999390802,2098,SF008,MG,IGAM,Rio Santana,1,4,0.048,0.02,0.13,0.055,-20.08389,-45.58664
-45.47583,-18.719219999425835,2099,SF009,MG,IGAM,Ribeirão Sucuriú,1,4,0.073,0.02,0.22,0.098,-18.71922,-45.47583
-45.47844,-19.772219999398693,2100,SF010,MG,IGAM,Rio São Francisco,1,4,0.028,0.02,0.04,0.01,-19.77222,-45.47844
-45.56475,-18.677999999426913,2101,SF011,MG,IGAM,Rio Indaiá,1,4,0.02,0.02,0.02,0,-18.678,-45.56475
-45.0,-15.469999999514371,2102,SF012,MG,IGAM,Rio Paracatu,1,4,0.028,0.02,0.05,0.015,-15.47,-45
-45.64653,-18.466109999432501,2103,SF013,MG,IGAM,Rio Borrachudo,1,4,0.02,0.02,0.02,0,-18.46611,-45.64653
-42.4,-15.179999999522582,2104,SF014,MG,IGAM,Rio Juramento,1,4,0.068,0.04,0.12,0.036,-15.18,-42.4
-45.22544,-18.154279999440753,2105,SF015,MG,IGAM,Rio São Francisco,1,4,0.02,0.02,0.02,0,-18.15428,-45.22544
-45.17756,-17.959579999445928,2106,SF016,MG,IGAM,Rio São Francisco,1,4,0.02,0.02,0.02,0,-17.95958,-45.17756
-45.46278,-18.109609999441894,2107,SF017,MG,IGAM,Rio Abaeté,1,4,0.032,0.02,0.06,0.019,-18.10961,-45.46278
-43.11,-15.189999999522284,2108,SF018,MG,IGAM,Riacho Canabrava,1,4,0.028,0.02,0.05,0.015,-15.19,-43.11
-44.93006,-17.29721999946371,2109,SF019,MG,IGAM,Rio São Francisco,1,4,0.67,0.32,0.95,0.28,-17.29722,-44.93006
-42.97,-14.249999999549274,2110,SF020,MG,IGAM,Rio Mosquito (SF10),1,4,0.21,0.11,0.3,0.08,-14.25,-42.97
-44.71667,-17.08332999946953,2111,SF021,MG,IGAM,Rio Jequitaí,1,4,0.035,0.02,0.08,0.03,-17.08333,-44.71667
-43.95,-14.659999999537465,2112,SF022,MG,IGAM,Rio Japoré,1,4,0.03,0.02,0.05,0.014,-14.66,-43.95
-44.91517,-16.859719999475637,2113,SF023,MG,IGAM,Rio São Francisco,1,4,0.062,0.04,0.08,0.021,-16.85972,-44.91517
-43.8,-14.669999999537167,2114,SF024,MG,IGAM,Rio Peruaçu,1,4,0.025,0.02,0.04,0.01,-14.67,-43.8
-45.06542,-16.370719999489147,2115,SF025,MG,IGAM,Rio São Francisco,1,4,0.055,0.02,0.14,0.057,-16.37072,-45.06542
-45.23672,-15.495499999513621,2116,SF026,MG,IGAM,Rio Pardo,1,4,0.038,0.02,0.05,0.013,-15.4955,-45.23672
-44.86783,-15.9488599995009,2117,SF027,MG,IGAM,Rio São Francisco,1,4,0.048,0.03,0.07,0.021,-15.94886,-44.86783
-44.75692,-15.504859999513371,2118,SF028,MG,IGAM,Ribeirão Pandeiros,1,4,0.032,0.02,0.06,0.019,-15.50486,-44.75692
-44.35111,-15.488609999513811,2119,SF029,MG,IGAM,Rio São Francisco,1,4,0.06,0.02,0.15,0.061,-15.48861,-44.35111
-44.09069,-15.100219999524823,2120,SF031,MG,IGAM,Rio São Francisco,1,4,0.088,0.03,0.26,0.115,-15.10022,-44.09069
-43.93,-14.749999999534852,2121,SF033,MG,IGAM,Rio São Francisco,1,4,0.03,0.03,0.03,0,-14.75,-43.93
-43.78508,-12.337469999605622,2122,SF034,MG,IGAM,Rio Carinhanha,1,4,0.03,0.02,0.05,0.014,-12.33747,-43.78508
-44.96781,-16.752889999478565,2123,SF040,MG,IGAM,Rio Pacuí,1,4,0.065,0.02,0.12,0.053,-16.75289,-44.96781
-45.07472,-18.519939999431081,2124,SF042,MG,IGAM,Ribeirão da Extrema Grande,1,4,0.02,0.02,0.02,0,-18.51994,-45.07472
-45.07472,-18.318609999436351,2125,SF044,MG,IGAM,Ribeirão do Boi,1,3,0.027,0.02,0.04,0.012,-18.31861,-45.07472
-45.07472,-19.523559999405002,2126,SF046,MG,IGAM,Rio Indaiá,1,4,0.045,0.02,0.11,0.044,-19.52356,-45.07472
-45.07472,-19.156389999414461,2127,SF048,MG,IGAM,Rio Indaiá,1,4,0.035,0.02,0.08,0.03,-19.15639,-45.07472
-45.07472,-19.323169999410172,2128,SF050,MG,IGAM,Rio Borrachudo,1,4,0.1,0.02,0.34,0.16,-19.32317,-45.07472
-45.07472,-19.108139999415705,2129,SF052,MG,IGAM,Rio Borrachudo,1,4,0.062,0.02,0.16,0.067,-19.10814,-45.07472
-45.07472,-18.188579999439813,2130,SF054,MG,IGAM,Rio São Francisco,1,4,0.02,0.02,0.02,0,-18.18858,-45.07472
-45.07472,-19.313189999410451,2131,SF056,MG,IGAM,Rio Abaeté,1,4,0.035,0.02,0.08,0.03,-19.31319,-45.07472
-45.07472,-18.994609999418682,2132,SF058,MG,IGAM,Rio Abaeté,1,4,0.138,0.02,0.41,0.183,-18.99461,-45.07472
-45.07472,-18.384599999434606,2133,SF060,MG,IGAM,Rio Abaeté,1,4,0.02,0.02,0.02,0,-18.3846,-45.07472
-37.22644,-7.23852999976384,2134,SF51,PB,SUDEMA,Açude São Francisco (Teixeira),2,2,0.04,0.02,0.06,0.028,-7.23853,-37.22644
-43.83,-17.089999999469335,2135,SFC001,MG,IGAM,Rio Guavanipã,1,4,0.598,0.07,1.62,0.697,-17.09,-43.83
-44.47,-17.209999999466071,2136,SFC005,MG,IGAM,Rio Jequitaí,1,4,0.038,0.02,0.09,0.035,-17.21,-44.47
-44.41,-16.389999999488591,2137,SFC035,MG,IGAM,Rio Riachão,1,4,0.028,0.02,0.05,0.015,-16.39,-44.41
-43.26,-15.82999999950419,2138,SFC145,MG,IGAM,Rio Gorutuba,1,4,0.025,0.02,0.03,0.006,-15.83,-43.26
-42.86,-15.679999999508437,2139,SFC200,MG,IGAM,Rio Serra Branca,1,4,0.02,0.02,0.02,0,-15.68,-42.86
-47.01056,-17.915559999447108,2140,SFH10,MG,IGAM,Rio Claro,1,4,0.038,0.02,0.06,0.021,-17.91556,-47.01056
-46.47389,-17.255279999464879,2141,SFH11,MG,IGAM,Rio Paracatu,1,4,0.08,0.02,0.18,0.077,-17.25528,-46.47389
-45.53944,-17.030559999470974,2142,SFH13,MG,IGAM,Rio Paracatu,1,4,0.057,0.02,0.12,0.048,-17.03056,-45.53944
-45.23778,-16.268329999491964,2143,SFH17,MG,IGAM,Rio Urucuia,1,4,0.06,0.02,0.13,0.052,-16.26833,-45.23778
-43.53917,-14.784439999533879,2144,SFH21,MG,IGAM,Rio Verde Grande,1,3,0.037,0.02,0.06,0.021,-14.78444,-43.53917
-44.16083,-14.262779999548924,2145,SFH23,MG,IGAM,Rio Carinhanha,1,4,0.023,0.02,0.03,0.005,-14.26278,-44.16083
-47.32,-15.729999999507035,2146,SFH24,MG,IGAM,Rio Preto (SF7),1,4,0.032,0.03,0.04,0.005,-15.73,-47.32
-44.02083,-15.094999999525015,2147,SFJ01,MG,IGAM,Canal de Irrigação Principal (CP-1),1,4,0.088,0.04,0.14,0.041,-15.095,-44.02083
-43.87675,-15.150279999523418,2148,SFJ04,MG,IGAM,Canal de Drenagem Secundária (DS-11),1,4,0.028,0.02,0.04,0.01,-15.15028,-43.87675
-43.94167,-15.158389999523189,2149,SFJ05,MG,IGAM,Canal de Drenagem Principal (DP-4),1,4,0.04,0.02,0.07,0.022,-15.15839,-43.94167
-43.81436,-15.210109999521702,2150,SFJ06,MG,IGAM,Canal de Irrigação Secundário (CS-1),1,4,0.038,0.02,0.08,0.029,-15.21011,-43.81436
-44.03125,-15.094249999525001,2151,SFJ12,MG,IGAM,Rio São Francisco,1,4,0.095,0.02,0.21,0.089,-15.09425,-44.03125
-44.02264,-15.082559999525339,2152,SFJ14,MG,IGAM,Rio São Francisco,1,4,0.057,0.02,0.16,0.068,-15.08256,-44.02264
-43.68072,-16.520419999485,2153,SFJ15,MG,IGAM,Rio Caititu,1,4,0.108,0.02,0.26,0.109,-16.52042,-43.68072
-43.78314,-16.340579999489957,2154,SFJ16,MG,IGAM,Rio Verde Grande,1,4,0.408,0.16,0.86,0.314,-16.34058,-43.78314
-43.85342,-16.111169999496365,2155,SFJ17,MG,IGAM,Rio Suçuapara,1,4,0.04,0.02,0.06,0.018,-16.11117,-43.85342
-43.64075,-15.940469999501122,2156,SFJ18,MG,IGAM,Rio Verde Grande,1,4,0.1,0.07,0.14,0.032,-15.94047,-43.64075
-43.61369,-15.780439999505607,2157,SFJ20,MG,IGAM,Rio Verde Grande,1,4,0.085,0.03,0.13,0.041,-15.78044,-43.61369
-44.02411,-15.816469999504568,2158,SFJ21,MG,IGAM,Rio Arapoim,1,4,0.06,0.02,0.18,0.08,-15.81647,-44.02411
-43.59,-15.73999999950675,2159,SFJ22,MG,IGAM,Rio Verde Grande,1,4,0.135,0.03,0.19,0.072,-15.74,-43.59
-43.65964,-15.442419999515151,2160,SFJ23,MG,IGAM,Rio Verde Grande,1,4,0.057,0.02,0.11,0.045,-15.44242,-43.65964
-35.31167,-6.835829999776687,2161,SG03,PB,SUDEMA,Açude São Gonçalo (Sousa),2,2,0.1,0.1,0.1,0,-6.83583,-35.31167
-35.65609,-8.420309999726269,2162,SI03,PE,CPRH,Informação não disponível,1,2,0.06,0.06,0.06,0,-8.42031,-35.65609
-35.39417,-8.565399999721725,2163,SI20,PE,CPRH,Informação não disponível,1,2,0.195,0.07,0.32,0.177,-8.5654,-35.39417
-38.59558,-7.631419999751284,2164,SI25,PB,SUDEMA,Açude Santa Inês (Santa Inês),2,2,0.1,0.08,0.12,0.028,-7.63142,-38.59558
-35.21142,-8.648829999719068,2165,SI45,PE,CPRH,Informação não disponível,1,2,0.215,0.06,0.37,0.219,-8.64883,-35.21142
-35.10714,-8.579329999721313,2166,SI55,PE,CPRH,Informação não disponível,1,2,0.185,0.1,0.27,0.12,-8.57933,-35.10714
-38.96328,-3.777679999875747,2167,SIN02,CE,COGERH,Informação não disponível,2,2,0.343,0.317,0.369,0.037,-3.77768,-38.96328
-39.28356,-4.394139999855645,2168,SIN09,CE,COGERH,Informação não disponível,2,3,0.384,0.314,0.449,0.068,-4.39414,-39.28356
-39.28188,-4.407659999855233,2169,SIN14,CE,COGERH,Açude Sitios Novos,2,4,0.373,0.356,0.409,0.024,-4.40766,-39.28188
-40.01299,-4.804449999842267,2170,SIN18,CE,COGERH,Açude Sitios Novos,2,2,0.4,0.336,0.465,0.091,-4.80445,-40.01299
-39.174,-3.553219999883126,2171,SIT01,CE,COGERH,Rio Sitiá,1,4,0.048,0.021,0.085,0.028,-3.55322,-39.174
-40.141,-3.26016999989273,2172,SIT02,CE,COGERH,Rio Sitiá,1,4,0.066,0.016,0.14,0.053,-3.26017,-40.141
-38.56489,-4.123179999864477,2173,SJ201,CE,COGERH,Informação não disponível,2,3,0.083,0.042,0.146,0.055,-4.12318,-38.56489
-38.44766,-5.539709999818454,2174,SJ301,CE,COGERH, ,0,2,0.359,0.341,0.376,0.025,-5.53971,-38.44766
-38.5081,-7.131599999767221,2175,SJ74,PB,SUDEMA,Açude São José (São José de Piranhas),2,2,0.055,0.03,0.08,0.035,-7.1316,-38.5081
-46.86083,-23.505559999309238,2176,SJBA04950,SP,CETESB,Córrrego São João do Barueri,1,6,1.388,0.65,2.27,0.645,-23.50556,-46.86083
-49.46,-20.430199999382147,2177,SJDO02150,SP,CETESB,Rio São José dos Dourados,1,6,0.23,0.15,0.302,0.063,-20.4302,-49.46
-50.5189,-20.508599999380195,2178,SJDO02500,SP,CETESB,Rio São José dos Dourados,1,6,0.119,0.091,0.2,0.041,-20.5086,-50.5189
-55.16345,-15.571569999511487,2179,SLO001,MT,SEMA,Rio São Lourenço,1,3,0.177,0.05,0.37,0.17,-15.57157,-55.16345
-54.92216,-15.997839999499504,2180,SLO129,MT,SEMA, ,1,3,0.097,0.05,0.15,0.05,-15.99784,-54.92216
-54.92339,-16.313559999490717,2181,SLO182,MT,SEMA, ,1,3,0.117,0.05,0.15,0.058,-16.31356,-54.92339
-48.83972,-21.641939999352498,2182,SLOU03700,SP,CETESB,Rio São Lourenço,1,6,0.16,0.1,0.32,0.082,-21.64194,-48.83972
-40.87947,-18.122189999441566,2183,SM001,MG,IGAM,Rio São Mateus,1,2,0.03,0.03,0.03,0,-18.12219,-40.87947
-41.09867,-18.666389999427199,2184,SM003,MG,IGAM,Rio São Mateus,1,4,0.05,0.02,0.08,0.024,-18.66639,-41.09867
-37.072,-6.931749999773648,2185,SM43,PB,SUDEMA,Açude São Mamede (são Mamede),2,2,0.255,0.18,0.33,0.106,-6.93175,-37.072
-40.44381,-3.20630999989445,2186,SMA01,CE,COGERH,Informação não disponível,2,3,0.362,0.164,0.556,0.196,-3.20631,-40.44381
-48.0256,-23.888299999300742,2187,SMIG02800,SP,CETESB,Rio São Miguel Arcanjo,1,6,0.32,0.13,0.54,0.135,-23.8883,-48.0256
-39.36754,-4.985119999836417,2188,SMR01,CE,COGERH,Informação não disponível,2,4,0.066,0.028,0.118,0.04,-4.98512,-39.36754
-39.87778,-18.709169999426077,2189,SMT1D020,ES,IEMA,Rio São Mateus,1,4,0,0,0,0,-18.70917,-39.87778
-39.85417,-18.711679999426043,2190,SMT1D025,ES,IEMA,Rio São Mateus,1,4,0,0,0,0,-18.71168,-39.85417
-40.27718,-18.574009999429627,2191,SMT2C015,ES,IEMA,Rio São Mateus,1,4,0,0,0,0,-18.57401,-40.27718
